epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.442,1.27043,2.20877,1.70961,0.55211,0.24029,0.1459,0.0501,1.87096,2.87879,4.28192,0.0703333,0.0032963,0.0032963
2,879.952,1.36287,1.87227,1.78028,0.39102,0.14351,0.14882,0.04545,2.45702,2.65765,4.42355,0.0398958,0.00619207,0.00619207
3,1334.54,1.28989,1.69909,1.71768,0.48047,0.2851,0.26279,0.10986,1.82802,2.08653,2.99804,0.00901822,0.00864785,0.00864785
4,1790.36,1.22813,1.61063,1.66383,0.64505,0.25625,0.28204,0.15912,1.50253,1.87326,2.36833,0.00802,0.00802,0.00802
5,2256.63,1.19766,1.58543,1.6333,0.22307,0.32583,0.25696,0.12845,1.54129,2.11018,2.37026,0.00736,0.00736,0.00736
6,2693.73,1.11722,1.59169,1.84315,0.25271,0.42408,0.336,0.2222,1.17759,1.50725,1.94542,0.0067,0.0067,0.0067
7,3159.53,1.01766,1.36571,1.71386,0.2863,0.45106,0.36605,0.26667,1.07554,1.3302,1.78077,0.00604,0.00604,0.00604
8,3589.76,0.96993,1.23463,1.64554,0.57284,0.46874,0.4155,0.28718,1.07592,1.23239,1.81962,0.00538,0.00538,0.00538
9,3990.47,0.96749,1.2379,1.64214,0.67558,0.46271,0.42558,0.28352,1.14037,1.28317,1.82482,0.00472,0.00472,0.00472
10,4343.02,0.89979,1.1375,1.58757,0.56588,0.48392,0.44466,0.33825,0.94559,1.13027,1.63422,0.00406,0.00406,0.00406
11,4701.32,0.90633,1.10919,1.5899,0.81486,0.42591,0.47185,0.34778,0.98451,1.1037,1.65012,0.0034,0.0034,0.0034
12,5058.4,0.87697,1.10564,1.5545,0.65133,0.52017,0.47886,0.35792,0.93233,1.08072,1.594,0.00274,0.00274,0.00274
13,5426.04,0.85402,1.05299,1.5316,0.60894,0.50229,0.48514,0.37195,0.90995,1.04992,1.56824,0.00208,0.00208,0.00208
14,5778.67,0.83271,1.02627,1.50125,0.65458,0.53303,0.487,0.37267,0.89903,1.03714,1.55115,0.00142,0.00142,0.00142
15,6133.86,0.82087,1.02353,1.49947,0.64207,0.53811,0.50428,0.38304,0.87968,0.99816,1.52781,0.00076,0.00076,0.00076
